|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.12 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.89 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.07 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.96 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.97 |     4.377 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.05 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.87 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.91 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2    |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.01 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.01 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.97 |     4.377 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2    |     4.377 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.96 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.99 |     4.377 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.9  |     6.547 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.93 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.08 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.92 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.96 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.9  |     4.377 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.01 |     4.377 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.04 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.91 |     6.547 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.95 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.03 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.96 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.97 |     7.087 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.22 |     7.087 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.96 |     7.087 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.13 |     6.547 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.9  |     7.087 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.96 |     7.087 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.86 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     7 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.4  |     7.087 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.06 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.96 |     7.087 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.14 |     7.087 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.94 |     7.087 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.17 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.9  |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.96 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.09 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.95 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.95 |     4.377 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.9  |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.91 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.91 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.07 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.91 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.99 |     4.377 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.08 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.07 |     4.377 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     7 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.05 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.97 |     4.377 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.12 |     7.087 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.98 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     7 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.99 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.97 |     4.377 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         2.02 |     4.438 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.99 |     7.087 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         1.95 |     4.438 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.99 |     4.377 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.03 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.06 |     4.377 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.86 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.93 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.04 |     4.377 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.96 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.08 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2    |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.96 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.97 |     4.377 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.91 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.15 |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.9  |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.93 |     4.377 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.99 |     7.087 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.04 |     6.547 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2    |     7.087 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.03 |     4.377 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.03 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.01 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.9  |     4.377 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.99 |     7.087 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.96 |     6.547 |
|                     7 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.94 |     7.087 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.96 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.06 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.92 |     4.377 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.02 |     7.087 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.03 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.08 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.02 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.13 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.07 |     7.087 |
|                     6 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.2  |     7.087 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.11 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.09 |     6.547 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.03 |     7.087 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.04 |     7.087 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.17 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.04 |     7.087 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.11 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.96 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.95 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.91 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.17 |     4.377 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.13 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.02 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.05 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.03 |     4.377 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.05 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.07 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.22 |     4.377 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         2.02 |     4.438 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.96 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.04 |     6.547 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.27 |     7.087 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.93 |     6.547 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.9  |     7.087 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.91 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.17 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.08 |     4.377 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.99 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.05 |     4.377 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.98 |     7.087 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.44 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.05 |     4.377 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                     8 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2    |     7.087 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.06 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.07 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         1.96 |     4.438 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.05 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.94 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.98 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.06 |     4.377 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.11 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.01 |     6.547 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.93 |     6.547 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2    |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.99 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.04 |     4.377 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.03 |     4.377 |
|                     3 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.96 |     7.087 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.93 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.96 |     4.377 |
|                     9 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.12 |     7.087 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2    |     4.377 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.04 |     6.547 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.14 |     7.087 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.06 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.13 |     4.377 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         2.03 |     4.438 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.12 |     6.547 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.98 |     6.547 |
|                     2 |                       4 |    1.902 |    0.32  |   0.21  |   2.324 |     4.75 |         2.16 |     4.438 |
|                     5 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.92 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.99 |     4.377 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.94 |     6.547 |
|                     4 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.97 |     6.547 |
|                     7 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.93 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         1.97 |     4.377 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.09 |     6.547 |
|                    10 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.02 |     6.547 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.04 |     6.547 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         1.87 |     7.087 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.04 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.08 |     7.087 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         1.95 |     6.547 |
|                    11 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.1  |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.03 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.06 |     6.547 |
